마을명,시군구명,읍면동명,행정리명,편의시설명,편의시설유형,소재지전화번호,소재지도로명주소,소재지지번주소,위도,경도,인허가일자,상세영업상태코드,상세영업상태명,휴무일,운영시간,데이터기준일자
남원1리마을,서귀포시,남원읍,남원1리,남제주할인마트,마트,064-764-7557,제주특별자치도 서귀포시 남원읍 태위로 662,제주특별자치도 서귀포시 남원읍 남원리 113-7,33.27844616,126.7174392,,13,영업중,연중무휴,(평일+주말+공휴일)06:00~23:00,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,나들가게평화슈퍼,마트,064-764-4244,제주특별자치도 서귀포시 남원읍 태위로689번길 7,제주특별자치도 서귀포시 남원읍 남원리 203-6,33.28001382,126.7199085,,13,영업중,연중무휴,(평일+주말+공휴일)08:00~22:00,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,남원슈퍼,마트,064-764-4964,제주특별자치도 서귀포시 남원읍 태위로 631-1,제주특별자치도 서귀포시 남원읍 남원리 1339-6,33.27805791,126.7142443,,13,영업중,연중무휴,(평일+주말+공휴일)07:00~23:00,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,제주남원우체국,우체국,064-764-1117,제주특별자치도 서귀포시 남원읍 태위로 632,제주특별자치도 서귀포시 남원읍 남원리 1349-1,33.27769718,126.7142079,,13,영업중,토요일+일요일+공휴일,(평일)09:00~18:00,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,제주은행 남원출장소,은행,064-764-2121,제주특별자치도 서귀포시 남원읍 태위로 701,제주특별자치도 서귀포시 남원읍 남원리 209-3,33.27994267,126.7213471,,13,영업중,토요일+일요일+공휴일,(평일)09:30~15:30,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,제주남원동부새마을금고 본점,은행,064-764-8001,제주특별자치도 서귀포시 남원읍 태위로 654,제주특별자치도 서귀포시 남원읍 남원리 139-3,33.27828626,126.7165112,,13,영업중,토요일+일요일+공휴일,(평일)09:00~16:00,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,서귀포수협 남원지점,은행,064-764-1818,제주특별자치도 서귀포시 남원읍 태위로 698 ,제주특별자치도 서귀포시 남원읍 남원리 97-5,33.27953648,126.7211445,,13,영업중,토요일+일요일+공휴일,(평일)09:00~16:00,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,금호리조트 전기차충전소,전기차충전소,1670-2690,제주특별자치도 서귀포시 남원읍 태위로 522-12,제주특별자치도 서귀포시 남원읍 남원리 2390,33.27377459,126.7024699,,18,사용중,연중무휴,(평일+주말+공휴일)00:00~24:00,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,서귀포시 동부보건소 전기차충전소,전기차충전소,1661-9408,제주특별자치도 서귀포시 남원읍 태위로 527,제주특별자치도 서귀포시 남원읍 남원리 2359-1,33.27538172,126.703401,,18,사용중,연중무휴,(평일+주말+공휴일)00:00~24:00,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,대발이파크 전기차충전소,전기차충전소,1670-2690,,제주특별자치도 서귀포시 남원읍 남원리 2490-5,33.27489262,126.7043634,,18,사용중,연중무휴,(평일+주말+공휴일)00:00~24:00,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,남원읍 공영주차장 전기차충전소,전기차충전소,1661-9408,,제주특별자치도 서귀포시 남원읍 남원리 84-2,33.27887642,126.7213156,,18,사용중,연중무휴,(평일+주말+공휴일)00:00~24:00,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,남원읍사무소 전기차충전소,전기차충전소,1899-8852,제주특별자치도 서귀포시 남원읍 태위로 695,제주특별자치도 서귀포시 남원읍 남원리 205-1,33.27988707,126.7206764,,18,사용중,연중무휴,(평일+주말+공휴일)00:00~24:00,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,호텔이디 전기차충전소,전기차충전소,1544-4279,제주특별자치도 서귀포시 남원읍 태위로 690-3,제주특별자치도 서귀포시 남원읍 남원리 98-10,33.27921941,126.7204746,,18,사용중,연중무휴,(평일+주말+공휴일)00:00~24:00,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,남원1리마을회 전기차충전소,전기차충전소,1544-4279,제주특별자치도 서귀포시 남원읍 남원회관로 27,제주특별자치도 서귀포시 남원읍 남원리 1345-6,33.27781659,126.7161531,,18,사용중,연중무휴,(평일+주말+공휴일)00:00~24:00,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,제주목화 전기차충전소,전기차충전소,1833-8017,,제주특별자치도 서귀포시 남원읍 남원리 2452,33.27556706,126.6989243,,18,사용중,연중무휴,(평일+주말+공휴일)00:00~24:00,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,소랑호젠펜션 전기차충전소,전기차충전소,1833-8017,제주특별자치도 서귀포시 남원읍 태위로 545,제주특별자치도 서귀포시 남원읍 남원리 2356-1,33.27558475,126.7053647,,18,사용중,연중무휴,(평일+주말+공휴일)00:00~24:00,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,대한예수교장로회남원교회 전기차충전소,전기차충전소,1811-1350,제주특별자치도 서귀포시 남원읍 남한로 27,제주특별자치도 서귀포시 남원읍 남원리 156,33.28142052,126.7169895,,18,사용중,연중무휴,(평일+주말+공휴일)00:00~24:00,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,남원아이진아파트 전기차충전소,전기차충전소,1833-8017,제주특별자치도 서귀포시 남원읍 태위로603번길 22-1,제주특별자치도 서귀포시 남원읍 남원리 1434-3,33.27856716,126.7102736,,18,사용중,연중무휴,(평일+주말+공휴일)00:00~24:00,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,뜨리바다펜션 전기차충전소,전기차충전소,1522-1782,제주특별자치도 서귀포시 남원읍 태위로510번길 31-16,제주특별자치도 서귀포시 남원읍 남원리 2397,33.27152968,126.6997217,,18,사용중,연중무휴,(평일+주말+공휴일)00:00~24:00,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,느영나영초가집 전기차충전소,전기차충전소,1544-4279,제주특별자치도 서귀포시 남원읍 태위로 483,제주특별자치도 서귀포시 남원읍 남원리 2453-5,33.2751479,126.698966,,18,사용중,연중무휴,(평일+주말+공휴일)00:00~24:00,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,남원119센터 전기차충전소,전기차충전소,1661-9408,제주특별자치도 서귀포시 남원읍 남원체육관로221번길 23,제주특별자치도 서귀포시 남원읍 남원리 1499-3,33.28149541,126.708431,,18,사용중,연중무휴,(평일+주말+공휴일)00:00~24:00,2022-09-30
